delta-time,service,repetition 1,repetition 2,repetition 3,repetiton 4,avg,max,min,Desviacion Standard,p95,p99
120,tempo-12,0.002935663,0.002020951,0.002004953,0.019040574,0.00650053497653,0.019040574,0.002004953,0.00724979,0.016624837,0.018664372
130,tempo-13,0.001673808,0.002486856,0.002343872,0.018699079,0.00630090361488,0.018699079,0.001673808,0.007164667,0.016267245,0.018327133
140,tempo-14,0.001673808,0.002486856,0.002343872,0.013810649,0.00507879618252,0.013810649,0.001673808,0.005050672,0.01211208,0.013548693
150,tempo-15,0.001579114,0.001691282,0.001715115,0.013810649,0.00469903986648,0.013810649,0.001579114,0.005260841,0.011996319,0.013537301
160,tempo-16,0.001579114,0.001691282,0.001715115,0.010950366,0.00398396904283,0.010950366,0.001579114,0.004022379,0.009565078,0.010741374
170,tempo-17,0.001579114,0.001085593,0.001209093,0.007619821,0.00287340532541,0.007619821,0.001085593,0.002746355,0.006713715,0.007477429
180,tempo-18,0.000752097,0.00099537,0.000555335,0.007619821,0.00248065570415,0.007619821,0.000555335,0.00297119,0.006626154,0.007465646
190,tempo-19,0.000752097,0.000683314,0.000555335,0.000623529,0.00065356875825,0.000752097,0.000555335,7.27064E-05,0.00074178,0.000682422
200,tempo-20,0.000752097,0.000598899,0.000555335,0.000746851,0.00066329550497,0.000752097,0.000555335,8.75636E-05,0.00075131,0.000744344
210,tempo-21,0.000752097,0.000598899,0.00056794,0.000746851,0.00066644688626,0.000752097,0.00056794,8.3766E-05,0.00075131,0.000744439
0,sample-service-tempo,0.000541035,0.000571253,0.000577818,0.000652559,0.00058566623824,0.000652559,0.000541035,4.10361E-05,0.000641348,0.000650552
10,sample-service-tempo,0.000529055,0.000577705,0.000460329,0.002474286,0.00101034396994,0.002474286,0.000460329,0.000846235,0.002189799,0.002430368
20,sample-service-tempo,0.000527841,0.000562993,0.000460329,0.002474286,0.00100636223710,0.002474286,0.000460329,0.000848309,0.002187592,0.002430248
30,sample-service-tempo,0.000527841,0.000477108,0.000565083,0.002474286,0.00101107941814,0.002474286,0.000477108,0.00084536,0.002187906,0.00243039
40,sample-service-tempo,0.002694504,0.000987191,0.000565083,0.007901679,0.00303711462380,0.007901679,0.000565083,0.002919525,0.007120603,0.007755742
50,sample-service-tempo,0.003426997,0.004168713,0.001715558,0.007901679,0.00430323692004,0.007901679,0.001715558,0.00226002,0.007341734,0.007793726
60,sample-service-tempo,0.0039727,0.005365901,0.001715558,0.009983258,0.00525935418977,0.009983258,0.001715558,0.003022441,0.009290655,0.009844737
70,sample-service-tempo,0.010302407,0.00432558,0.002073657,0.009983258,0.00667122543484,0.010302407,0.002073657,0.003563521,0.010254535,0.009883897
80,sample-service-tempo,0.017333397,0.012469894,0.001736472,0.012538432,0.01101954880864,0.017333397,0.001736472,0.005710751,0.016614152,0.012536376
90,sample-service-tempo,0.01753636,0.015839681,0.001736472,0.01449579,0.01240207574555,0.01753636,0.001736472,0.006251335,0.017281858,0.015799365
100,sample-service-tempo,0.021047666,0.018961321,0.011090587,0.019346154,0.01761143172346,0.021047666,0.011090587,0.003845796,0.020792439,0.019334609
110,sample-service-tempo,0.020836963,0.017203174,0.011090587,0.019346154,0.01711921950049,0.020836963,0.011090587,0.003712557,0.020613342,0.019281864
120,sample-service-tempo,0.021790398,0.016872845,0.017822975,0.014459931,0.01773653684244,0.021790398,0.014459931,0.002642128,0.021195284,0.017820382
130,sample-service-tempo,0.014979636,0.008389744,0.019803083,0.014459931,0.01440809847590,0.019803083,0.008389744,0.004051413,0.019079566,0.019642789
140,sample-service-tempo,0.014979636,0.009941109,0.011617038,0.008245003,0.01119569660922,0.014979636,0.008245003,0.00248879,0.014475246,0.011604398
150,sample-service-tempo,0.007673604,0.008412277,0.014018247,0.008245003,0.00958728267669,0.014018247,0.007673604,0.002572837,0.013177351,0.013885318
160,sample-service-tempo,0.000760985,0.004430177,0.010566064,0.002453018,0.00455256115743,0.010566064,0.000760985,0.003706795,0.009645681,0.010385659
170,sample-service-tempo,0.000711195,0.000737514,0.007390826,0.002453018,0.00282313811782,0.007390826,0.000711195,0.002729968,0.006650155,0.007253795
180,sample-service-tempo,0.000711195,0.000675157,0.00602147,0.000702771,0.00202764818813,0.00602147,0.000675157,0.002305873,0.005224929,0.005901656
190,sample-service-tempo,0.000664867,0.000572245,0.001425327,0.000702771,0.00084130254522,0.001425327,0.000572245,0.000340513,0.001316944,0.001407806
200,sample-service-tempo,0.000664867,0.000577818,0.001312472,0.000631803,0.00079673995072,0.001312472,0.000577818,0.000299375,0.001215331,0.001297
210,sample-service-tempo,0.000571253,0.000460329,0.000652559,0.000631803,0.00057898594491,0.000652559,0.000460329,7.47357E-05,0.000649445,0.000651936
0,open-telemetry-tempo,0.0012065,0.001022133,0.001944548,0.002094374,0.00156688865624,0.002094374,0.001022133,0.000460301,0.0020719,0.00208988
10,open-telemetry-tempo,0.001564296,0.00147573,0.001944548,0.001983924,0.00174212473117,0.001983924,0.00147573,0.000224739,0.001978018,0.001982743
20,open-telemetry-tempo,0.001588049,0.001522513,0.001906729,0.002086834,0.00177603136715,0.002086834,0.001522513,0.000230916,0.002059818,0.002081431
30,open-telemetry-tempo,0.001632828,0.001522513,0.001906729,0.00211308,0.00179378747616,0.00211308,0.001522513,0.000231409,0.002082127,0.002106889
40,open-telemetry-tempo,0.001693108,0.001640717,0.001921623,0.002380665,0.00190902838442,0.002380665,0.001640717,0.000292067,0.002311809,0.002366894
50,open-telemetry-tempo,0.001792319,0.001640717,0.001921623,0.002264873,0.00190488322985,0.002264873,0.001640717,0.000230395,0.002213386,0.002254576
60,open-telemetry-tempo,0.001764783,0.001297851,0.001810515,0.00272179,0.00189873462695,0.00272179,0.001297851,0.000515802,0.002585099,0.002697098
70,open-telemetry-tempo,0.001744175,0.001297851,0.001810515,0.002734434,0.00189674356568,0.002734434,0.001297851,0.000522281,0.002595846,0.002709303
80,open-telemetry-tempo,0.001426679,0.002116113,0.001934015,0.002919242,0.00209901225191,0.002919242,0.001426679,0.000536732,0.002798773,0.002895148
90,open-telemetry-tempo,0.00197579,0.002116113,0.001988649,0.002763362,0.00221097840273,0.002763362,0.00197579,0.000323601,0.002666274,0.00274679
100,open-telemetry-tempo,0.00213571,0.002369052,0.002316181,0.002651577,0.00236812996614,0.002651577,0.00213571,0.000185108,0.002609198,0.002643101
110,open-telemetry-tempo,0.00213571,0.002369052,0.002577011,0.002144404,0.00230654429289,0.002577011,0.00213571,0.000182026,0.002545817,0.002570772
120,open-telemetry-tempo,0.001907374,0.002592217,0.002626282,0.002469391,0.00239881620673,0.002626282,0.001907374,0.000289673,0.002621173,0.00262526
130,open-telemetry-tempo,0.00218506,0.002216598,0.002446213,0.002349719,0.00229939750410,0.002446213,0.00218506,0.0001049,0.002431739,0.002443318
140,open-telemetry-tempo,0.001911777,0.002682459,0.002873423,0.002034316,0.00237549389296,0.002873423,0.001911777,0.000410365,0.002844778,0.002867694
150,open-telemetry-tempo,0.001911777,0.002179535,0.00275388,0.001770053,0.00215381135317,0.00275388,0.001770053,0.000376363,0.002667729,0.00273665
160,open-telemetry-tempo,0.001839711,0.002262248,0.002634628,0.001770053,0.00212665990104,0.002634628,0.001770053,0.000348541,0.002578771,0.002623457
170,open-telemetry-tempo,0.001722945,0.002193332,0.00255967,0.000815512,0.00182286486614,0.00255967,0.000815512,0.000652853,0.002504719,0.00254868
180,open-telemetry-tempo,0.000873838,0.001924485,0.002487135,0.001271831,0.00163932235149,0.002487135,0.000873838,0.000616669,0.002402738,0.002470256
190,open-telemetry-tempo,0.001529584,0.001986495,0.002339866,0.001271831,0.00178194402147,0.002339866,0.001271831,0.000411406,0.00228686,0.002329265
200,open-telemetry-tempo,0.001529584,0.001909314,0.002234548,0.001504196,0.00179441041749,0.002234548,0.001504196,0.000300534,0.002185763,0.002224791
210,open-telemetry-tempo,0.001484956,0.001528761,0.002181971,0.001548637,0.00168608131255,0.002181971,0.001484956,0.000287228,0.002086971,0.002167095
